country,iw_bin
afghanistan,African-Islamic
bangladesh,African-Islamic
egypt,African-Islamic
ethiopia,African-Islamic
iran,African-Islamic
iraq,African-Islamic
kenya,African-Islamic
lebanon,African-Islamic
mauritius,African-Islamic
pakistan,African-Islamic
palestinian_territories,African-Islamic
saudi_arabia,African-Islamic
somalia,African-Islamic
south_africa,African-Islamic
south_sudan,African-Islamic
sudan,African-Islamic
syria,African-Islamic
türkiye,African-Islamic
zimbabwe,African-Islamic
bosnia_and_herzegovina,Orthodox Europe
greece,Orthodox Europe
north_macedonia,Orthodox Europe
romania,Orthodox Europe
russia,Orthodox Europe
serbia,Orthodox Europe
ukraine,Orthodox Europe
china,Confucian
hong_kong,Confucian
japan,Confucian
south_korea,Confucian
taiwan,Confucian
austria,Catholic Europe
croatia,Catholic Europe
hungary,Catholic Europe
italy,Catholic Europe
poland,Catholic Europe
portugal,Catholic Europe
spain,Catholic Europe
france,Protestant Europe
germany,Protestant Europe
netherlands,Protestant Europe
sweden,Protestant Europe
australia,English Speaking
canada,English Speaking
ireland,English Speaking
new_zealand,English Speaking
united_kingdom,English Speaking
united_states_of_america,English Speaking
argentina,Latin America
brazil,Latin America
chile,Latin America
colombia,Latin America
mexico,Latin America
malta,Latin America
peru,Latin America
philippines,Latin America
venezuela,Latin America
cambodia,West and South Asia
cyprus,West and South Asia
fiji,West and South Asia
india,West and South Asia
indonesia,West and South Asia
israel,West and South Asia
laos,West and South Asia
malaysia,West and South Asia
myanmar,West and South Asia
nepal,West and South Asia
papua_new_guinea,West and South Asia
samoa,West and South Asia
singapore,West and South Asia
sri_lanka,West and South Asia
thailand,West and South Asia
timor-leste,West and South Asia
tonga,West and South Asia
vietnam,West and South Asia
